product_page_url*	universal_product_code(upc)*	title*	price_including_tax*	price_excluding_tax*	number_available*	product_description*	category*	review_rating*	image_url*	
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html*	a22124811bfa8350*	It's Only the Himalayas*	Â£45.17*	Â£45.17*	3*	ets*	Travel*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html*	ce60436f52c5ee68*	Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond*	Â£49.43*	Â£49.43*	3*	ets*	Travel*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html*	f9705c362f070608*	See America: A Celebration of Our National Parks & Treasured Sites*	Â£48.87*	Â£48.87*	3*	ets*	Travel*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html*	1809259a5a5f1d8d*	Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel*	Â£36.94*	Â£36.94*	3*	ets*	Travel*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html*	a94350ee74deaa07*	Under the Tuscan Sun*	Â£37.33*	Â£37.33*	3*	ets*	Travel*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html*	cc1936a9f4e93477*	A Summer In Europe*	Â£44.34*	Â£44.34*	3*	ets*	Travel*	2/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html*	48736df57e7bec9f*	The Great Railway Bazaar*	Â£30.54*	Â£30.54*	3*	ets*	Travel*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html*	9e60929f521fa280*	A Year in Provence (Provence #1)*	Â£56.88*	Â£56.88*	3*	ets*	Travel*	4/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html*	366a236aa1ea6f07*	The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2)*	Â£23.21*	Â£23.21*	3*	ets*	Travel*	1/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html*	747cf7fca2ccdbd4*	Neither Here nor There: Travels in Europe*	Â£38.95*	Â£38.95*	3*	ets*	Travel*	3/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html*	228ba5e7577e1d49*	1,000 Places to See Before You Die*	Â£26.08*	Â£26.08*	3*	ets*	Travel*	5/5*	media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg*	
